				91.79%									
Date	Tier	Finish Wave	Max Wave	Percentage	Earned Coins	Ad Coins	Total Coins (B)	Time (minutes)	Minutes/Billion	Event Kills	Progress	Kills/Game	Games Left
													
2025-06-16	10	3199	3343	95.69%	4.35	2.17	6.52	286.28	43.9				
2025-06-17	10	2718	3343	81.30%	3.83	1.92	5.75	243.53	42.4				
2025-06-17	10	2808	3343	84.00%	3.77	1.89	5.66	252.27	44.6				
2025-06-17	10	3047	3343	91.15%	3.49	1.75	5.24	274.12	52.3				
2025-06-17	-11	404			0.32278	0.16137	0.48415	30.67	63.3				
2025-06-18	10	2614	3343	78.19%	2.92	1.46	4.38	233.52	53.3				
2025-06-18	10	3079	3343	92.10%	3.06	1.53	4.59	277.32	60.4				
2025-06-18	10	2550	3343	76.28%	2.47	1.23	3.7	227.72	61.5				
2025-06-19	10	3295	3343	98.56%	4.99	2.5	7.49	296.22	39.5				
2025-06-19	11	1414	1736	81.45%	1.46	0.72779	2.18779	124.08	56.7				
2025-06-19	11	1579	1736	90.96%	1.6	0.79802	2.39802	139.00	58.0				
2025-06-19	10	2422	3343	72.45%	3.24	1.62	4.86	216.92	44.6				
2025-06-20	7	3955	5613	70.46%	4.21	2.11	6.32	296.07	46.8				
2025-06-20	10	2548	3343	76.22%	3.5	1.75	5.25	227.87	43.4				
2025-06-20	12	513	522	98.28%	0.47922	0.23958	0.7188	41.28	57.4				
2025-06-20	-8	936			0.63042	0.31517	0.94559	83.37	88.2				
2025-06-21	10	3159	3343	94.50%	4.27	2.13	6.4	285.23	44.6				
2025-06-21	9	3768	3780	99.68%	6.44	3.22	9.66	338.00	35.0				
2025-06-21	10	2478	3343	74.13%	2.73	1.36	4.09	221.50	54.2				
2025-06-22	8	3212	4984	64.45%	3.59	1.79	5.38	289.43	53.8				
2025-06-22	10	2788	3343	83.40%	4.97	2.48	7.45	259.28	34.8				
2025-06-23	9	3249	3780	85.95%	4.61	2.3	6.91	292.72	42.4				
2025-06-23	9	3178	3780	84.07%	4.51	2.25	6.76	284.85	42.1				
